,Unnamed: 0,강원도,가평군,가경동,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
469,,,,남해읍,,,,,,,,,,,,,
470,,,,남현동,,,,,,,,,,,,,
471,,,,남후면,,,,,,,,,,,,,
472,,,,낭산면,,,,,,,,,,,,,
473,,,,낭성면,,,,,,,,,,,,,
474,,,,내가면,,,,,,,,,,,,,
475,,,,내곡동,,,,,,,,,,,,,
476,,,,내남면,,,,,,,,,,,,,
477,,,,내당1동,,,,,,,,,,,,,
478,,,,내당2.3동,,,,,,,,,,,,,
479,,,,내당4동,,,,,,,,,,,,,
480,,,,내덕1동,,,,,,,,,,,,,
481,,,,내덕2동,,,,,,,,,,,,,
482,,,,내동,,,,,,,,,,,,,
483,,,,내동면,,,,,,,,,,,,,
484,,,,내면,,,,,,,,,,,,,
485,,,,내북면,,,,,,,,,,,,,
486,,,,내산면,,,,,,,,,,,,,
487,,,,내서면,,,,,,,,,,,,,
488,,,,내서읍,,,,,,,,,,,,,
489,,,,내손1동,,,,,,,,,,,,,
490,,,,내손2동,,,,,,,,,,,,,
491,,,,내수읍,,,,,,,,,,,,,
492,,,,내외동,,,,,,,,,,,,,
493,,,,내이동,,,,,,,,,,,,,
494,,,,내일동,,,,,,,,,,,,,
495,,,,내장상동,,,,,,,,,,,,,
496,,,,내촌면,,,,,,,,,,,,,
497,,,,노곡면,,,,,,,,,,,,,
498,,,,노동면,,,,,,,,,,,,,
499,,,,노량진제1동,,,,,,,,,,,,,
500,,,,노량진제2동,,,,,,,,,,,,,
501,,,,노성면,,,,,,,,,,,,,
502,,,,노송동,,,,,,,,,,,,,
503,,,,노안면,,,,,,,,,,,,,
504,,,,노암동,,,,,,,,,,,,,
505,,,,노원동,,,,,,,,,,,,,
506,,,,노은1동,,,,,,,,,,,,,
507,,,,노은2동,,,,,,,,,,,,,
508,,,,노은3동,,,,,,,,,,,,,
509,,,,노은면,,,,,,,,,,,,,
510,,,,노학동,,,,,,,,,,,,,
511,,,,노형동,,,,,,,,,,,,,
512,,,,노화읍,,,,,,,,,,,,,
513,,,,녹번동,,,,,,,,,,,,,
514,,,,녹산동,,,,,,,,,,,,,
515,,,,녹양동,,,,,,,,,,,,,
516,,,,녹전면,,,,,,,,,,,,,
517,,,,논공읍,,,,,,,,,,,,,
518,,,,논현1동,,,,,,,,,,,,,
519,,,,논현2동,,,,,,,,,,,,,
520,,,,논현고잔동,,,,,,,,,,,,,
521,,,,농성1동,,,,,,,,,,,,,
522,,,,농성2동,,,,,,,,,,,,,
523,,,,농소1동,,,,,,,,,,,,,
524,,,,농소2동,,,,,,,,,,,,,
525,,,,농소3동,,,,,,,,,,,,,
526,,,,농소동,,,,,,,,,,,,,
527,,,,농소면,,,,,,,,,,,,,
528,,,,농암면,,,,,,,,,,,,,
529,,,,능곡동,,,,,,,,,,,,,
530,,,,능동,,,,,,,,,,,,,
531,,,,능서면,,,,,,,,,,,,,
532,,,,능주면,,,,,,,,,,,,,
533,,,,능포동,,,,,,,,,,,,,
534,,,,다대제1동,,,,,,,,,,,,,
535,,,,다대제2동,,,,,,,,,,,,,
536,,,,다도면,,,,,,,,,,,,,
537,,,,다사읍,,,,,,,,,,,,,
538,,,,다산1동,,,,,,,,,,,,,
539,,,,다산2동,,,,,,,,,,,,,
540,,,,다산동,,,,,,,,,,,,,
541,,,,다산면,,,,,,,,,,,,,
542,,,,다시면,,,,,,,,,,,,,
543,,,,다압면,,,,,,,,,,,,,
